Vegetable,Season,Month,Temperature,Disaster Events,Vegetable Condition,Price per kg
Cauliflower,Monsoon,3,36.41108879,Yes,scrap,26
Tomato,Monsoon,7,11.54500898,Yes,scrap,39
Cabbage,Summer,9,26.64828668,No,average,30
Ginger,Autumn,10,33.39134576,No,scrap,60
Chilly,Winter,10,13.50504209,Yes,scrap,45.5
Garlic,Monsoon,2,22.13440803,No,fresh,80
Ginger,Winter,6,11.25850454,No,fresh,60
Chilly,Winter,6,30.48257732,Yes,wilted,45.5
Tomato,Summer,9,19.22348785,No,fresh,30
Chilly,Monsoon,9,26.78185734,No,average,35
Cauliflower,Winter,5,37.98196811,Yes,scrap,26
Brinjal,Monsoon,5,19.17574324,No,wilted,40
Peas,Spring,9,11.45882415,No,fresh,85
Potato,Spring,8,30.26883303,No,scrap,28
Radish,Spring,7,33.60523404,No,average,35
Pointed grourd,Winter,8,38.7360568,No,scrap,35
Peas,Spring,6,14.73402631,Yes,average,110.5
Garlic,Summer,3,21.76419775,Yes,scrap,104
Chilly,Summer,7,35.3242138,Yes,wilted,45.5
Tomato,Winter,8,34.2061418,Yes,wilted,39
Okra,Monsoon,8,28.74387122,Yes,fresh,26
Pumpkin,Autumn,1,18.08105636,No,fresh,40
Pointed grourd,Monsoon,7,18.52105872,No,scrap,35
Cucumber,Monsoon,3,13.72008984,Yes,scrap,39
Tomato,Monsoon,2,37.65561021,Yes,fresh,39
Radish,Monsoon,2,15.18794544,Yes,fresh,49.4
Pointed grourd,Autumn,8,27.18659804,No,scrap,35
Pointed grourd,Spring,9,27.53054251,No,scrap,35
Cucumber,Monsoon,3,21.08816324,No,scrap,30
Cauliflower,Summer,3,20.57555383,No,wilted,20
Cucumber,Winter,6,30.05765256,No,average,30
Peas,Winter,11,21.64893334,No,average,85
Bitter gourd,Summer,10,17.6534618,Yes,fresh,32.5
Radish,Monsoon,1,21.97395107,No,wilted,35
Peas,Autumn,6,34.22986233,Yes,scrap,110.5
Tomato,Spring,12,38.99435365,Yes,scrap,39
Pumpkin,Winter,3,29.07850691,No,fresh,40
Radish,Spring,11,33.46303676,No,fresh,35
Radish,Autumn,4,25.98474584,No,wilted,35
Cauliflower,Winter,9,28.74469426,No,average,20
Garlic,Spring,3,39.6425997,No,average,80
Potato,Autumn,1,23.15256594,No,scrap,28
Cabbage,Spring,3,11.98764091,No,fresh,30
Radish,Monsoon,7,38.71020753,No,wilted,38
Okra,Autumn,7,33.79185163,Yes,scrap,26
Ginger,Spring,11,21.94931104,Yes,average,78
Potato,Monsoon,5,39.47185161,No,average,28
Tomato,Monsoon,1,20.36607251,Yes,wilted,39
Tomato,Autumn,11,21.16360588,No,scrap,30
Tomato,Summer,8,28.2919406,Yes,wilted,39
Bitter gourd,Winter,10,18.23042158,Yes,scrap,32.5
Ginger,Autumn,8,30.95714455,No,average,60
Cucumber,Monsoon,10,14.58550912,No,fresh,30
Cabbage,Monsoon,12,13.24075958,No,fresh,30
Chilly,Autumn,10,26.04634023,Yes,average,45.5
Potato,Summer,10,26.66481047,Yes,fresh,36.4
Radish,Winter,2,13.19965209,No,fresh,35
Pumpkin,Spring,10,38.92528783,Yes,scrap,52
Radish,Autumn,3,27.19859973,No,wilted,38
Peas,Winter,4,14.53104977,Yes,scrap,110.5
Cabbage,Winter,1,19.34327573,No,wilted,30
Onion,Monsoon,4,34.00702642,Yes,wilted,32.5
Onion,Spring,5,25.69694584,No,fresh,25
Radish,Autumn,3,15.64445046,No,wilted,38
Pointed grourd,Monsoon,11,13.08546916,No,wilted,35
Brinjal,Monsoon,10,22.92323237,Yes,average,52
Okra,Summer,2,20.12244126,No,wilted,20
Cabbage,Winter,6,29.67752057,Yes,average,39
Radish,Autumn,8,37.75740961,No,scrap,35
Cabbage,Autumn,7,17.43190857,No,fresh,30
Ginger,Autumn,11,35.657018,No,wilted,60
Tomato,Monsoon,1,37.61385935,Yes,average,39
Ginger,Summer,4,37.06007798,Yes,scrap,78
Garlic,Spring,3,38.5623199,Yes,scrap,104
Garlic,Monsoon,6,35.26325866,No,scrap,80
Cabbage,Spring,9,27.80458016,Yes,average,39
Bitter gourd,Summer,9,22.29538296,No,average,25
Cauliflower,Winter,7,24.75063358,No,fresh,20
Chilly,Autumn,12,36.17836525,No,wilted,35
Bitter gourd,Spring,9,19.04195132,No,scrap,25
Radish,Monsoon,8,14.77785083,No,fresh,35
Chilly,Spring,5,14.22457654,Yes,average,45.5
Potato,Winter,9,34.8098383,Yes,fresh,36.4
Ginger,Autumn,7,32.84457059,No,scrap,60
Ginger,Spring,5,24.92936023,No,scrap,60
Chilly,Winter,8,18.24614284,Yes,fresh,45.5
Okra,Monsoon,7,30.32839527,No,scrap,20
Bitter gourd,Summer,9,11.15299292,No,average,25
Cauliflower,Monsoon,10,27.04683447,No,scrap,20
Cabbage,Autumn,1,21.95275506,No,wilted,30
Brinjal,Monsoon,9,39.33578901,Yes,wilted,52
Ginger,Monsoon,7,25.22680747,No,scrap,60
Okra,Monsoon,1,26.56803257,Yes,fresh,26
Brinjal,Monsoon,1,31.3708799,Yes,scrap,52
Pumpkin,Autumn,5,24.53615443,Yes,wilted,52
Pumpkin,Winter,8,16.73705858,Yes,average,52
Cauliflower,Spring,9,26.1183354,No,wilted,20
Cucumber,Summer,12,38.32806613,No,scrap,30
Peas,Spring,6,22.29732965,No,scrap,85
Cabbage,Spring,12,30.38922865,Yes,fresh,39
Ginger,Summer,10,39.34102567,Yes,scrap,78
Cabbage,Autumn,12,34.89766939,Yes,scrap,39
Pumpkin,Summer,8,29.77102399,No,average,40
Potato,Autumn,6,32.07989465,No,average,28
Potato,Spring,11,38.09449744,No,average,28
Brinjal,Autumn,6,38.79256313,Yes,fresh,52
Potato,Winter,4,39.06904391,Yes,fresh,36.4
Cucumber,Summer,11,28.76924885,No,wilted,30
Radish,Winter,5,21.5413495,Yes,fresh,49.4
Brinjal,Spring,2,13.99459387,Yes,average,52
Ginger,Summer,3,21.56644004,No,fresh,60
Tomato,Spring,3,38.28866364,Yes,scrap,39
Brinjal,Winter,12,36.69391242,Yes,fresh,52
Onion,Spring,11,25.70978986,No,scrap,25
Radish,Summer,5,26.1102186,Yes,wilted,49.4
Cucumber,Summer,5,19.26761049,Yes,scrap,39
Brinjal,Spring,6,23.6352367,Yes,average,52
Brinjal,Summer,5,31.43345482,Yes,wilted,52
Potato,Summer,12,22.07292177,No,wilted,28
Radish,Spring,6,15.63951616,No,wilted,35
Brinjal,Winter,8,26.22578736,Yes,average,52
Garlic,Summer,2,16.76010734,No,scrap,80
Cabbage,Summer,4,39.22862668,No,wilted,30
Ginger,Summer,6,21.71019742,No,average,60
Pumpkin,Summer,12,37.28994915,Yes,wilted,52
Garlic,Spring,5,16.7666199,Yes,wilted,104
Garlic,Winter,1,15.67627016,No,average,80
Bitter gourd,Winter,9,28.50703387,No,fresh,25
Tomato,Autumn,3,33.38137235,No,wilted,30
Okra,Summer,2,27.00293692,No,fresh,20
Potato,Summer,9,16.89387051,Yes,wilted,36.4
Tomato,Autumn,7,11.13683089,No,fresh,30
Onion,Winter,5,28.54866464,Yes,scrap,32.5
Onion,Monsoon,12,13.93111676,Yes,fresh,32.5
Cauliflower,Monsoon,6,20.29529161,Yes,fresh,26
Ginger,Winter,12,30.27354261,Yes,fresh,78
Pumpkin,Summer,11,12.94070322,Yes,fresh,52
Pumpkin,Monsoon,4,13.81754439,Yes,scrap,52
Radish,Spring,1,11.84998622,Yes,average,45.5
Cauliflower,Spring,4,39.88237387,No,fresh,20
Potato,Autumn,9,21.61230306,Yes,average,36.4
Ginger,Winter,1,37.17385503,No,wilted,60
Pointed grourd,Winter,10,18.80756915,No,average,35
Pumpkin,Monsoon,3,32.59607695,No,fresh,40
Brinjal,Summer,5,16.57199849,No,average,40
Brinjal,Winter,7,24.94974129,No,scrap,40
Peas,Monsoon,9,34.73847218,Yes,scrap,110.5
Okra,Monsoon,6,34.49003197,Yes,fresh,26
Pointed grourd,Winter,3,33.82842152,No,average,35
Tomato,Monsoon,7,34.71203239,No,wilted,30
Radish,Autumn,4,16.34416844,No,scrap,35
Tomato,Autumn,3,24.46648818,Yes,fresh,39
Cucumber,Winter,7,24.54614424,No,scrap,30
Tomato,Summer,11,36.71507462,Yes,fresh,39
Ginger,Autumn,11,18.90675488,Yes,average,78
Okra,Autumn,7,37.9448768,No,average,20
Cucumber,Winter,4,23.52387209,Yes,average,39
Chilly,Spring,12,30.0936101,Yes,average,45.5
Pointed grourd,Monsoon,7,18.06649337,Yes,average,45.5
Peas,Autumn,11,22.3089432,No,fresh,85
Bitter gourd,Spring,2,31.29402796,No,scrap,25
Peas,Summer,1,25.38241426,No,wilted,85
Okra,Spring,12,37.92124035,No,scrap,20
Brinjal,Winter,2,32.11374898,No,average,40
Pointed grourd,Summer,4,26.93208777,No,scrap,35
Cauliflower,Summer,8,36.6000927,No,scrap,20
Cauliflower,Spring,3,29.96669166,No,fresh,20
Radish,Winter,10,29.4196142,Yes,wilted,45.5
Potato,Autumn,6,17.39113999,No,wilted,28
Tomato,Spring,6,21.84570897,Yes,average,39
Cucumber,Autumn,9,30.49910958,Yes,fresh,39
Radish,Spring,9,36.75375134,No,fresh,38
Pointed grourd,Autumn,4,19.46642421,Yes,fresh,45.5
Chilly,Spring,9,16.46456866,Yes,fresh,45.5
Tomato,Summer,6,27.81087936,No,fresh,30
Bitter gourd,Monsoon,2,12.01591294,Yes,wilted,32.5
Onion,Summer,10,31.43625104,No,wilted,25
Radish,Autumn,11,31.0941563,Yes,scrap,45.5
Peas,Winter,6,20.64898093,Yes,wilted,110.5
Potato,Summer,2,36.7803296,No,fresh,28
Chilly,Monsoon,8,25.06543425,Yes,scrap,45.5
Bitter gourd,Autumn,4,29.37294852,Yes,wilted,32.5
Pointed grourd,Summer,5,16.28735446,No,scrap,35
Peas,Spring,8,22.52021005,No,wilted,85
Tomato,Winter,11,35.87252621,Yes,average,39
Cauliflower,Autumn,8,16.38818643,Yes,wilted,26
Radish,Summer,12,21.71723133,No,scrap,35
Okra,Autumn,12,19.54229633,Yes,average,26
Pointed grourd,Spring,6,14.53330555,No,fresh,35
Chilly,Monsoon,4,18.69153754,No,scrap,35
Onion,Summer,1,16.98316851,No,fresh,25
Tomato,Autumn,12,37.70780891,Yes,fresh,39
Chilly,Autumn,7,32.23236414,Yes,scrap,45.5
Radish,Autumn,8,19.48304745,Yes,fresh,49.4
Garlic,Monsoon,9,32.9001716,No,scrap,80
Okra,Autumn,2,10.66419859,Yes,scrap,26
Cabbage,Winter,1,25.79574132,No,wilted,30
Radish,Winter,4,17.51003691,Yes,average,45.5
Radish,Autumn,5,13.42966215,No,fresh,38
Pumpkin,Winter,10,36.51275585,No,fresh,40
Cabbage,Summer,12,15.98021603,Yes,average,39
Pointed grourd,Winter,1,34.67173279,No,average,35
Okra,Autumn,5,22.39668032,Yes,average,26
Garlic,Spring,6,10.4287231,Yes,average,104
Okra,Summer,3,31.97598488,Yes,average,26
Potato,Monsoon,12,27.89079275,Yes,wilted,36.4
Chilly,Autumn,7,20.3251565,Yes,scrap,45.5
Potato,Monsoon,6,18.44637802,No,average,28
Cauliflower,Spring,4,12.21073757,Yes,wilted,26
Brinjal,Monsoon,3,38.24276785,No,average,40
Radish,Autumn,5,24.81954654,Yes,average,49.4
Okra,Autumn,3,12.56573553,No,fresh,20
Okra,Spring,10,36.06039153,No,fresh,20
Cucumber,Autumn,9,18.36499518,Yes,fresh,39
Peas,Spring,9,16.10808147,No,fresh,85
Bitter gourd,Spring,6,18.42812315,Yes,scrap,32.5
Cauliflower,Autumn,11,26.93714376,Yes,scrap,26
Potato,Winter,6,12.22169453,Yes,fresh,36.4
Potato,Spring,12,24.45270727,No,fresh,28
Potato,Autumn,4,36.87230335,No,average,28
Brinjal,Winter,4,15.64514788,No,average,40
Okra,Spring,2,19.93566316,No,fresh,20
Ginger,Winter,10,21.88365895,Yes,fresh,78
Garlic,Summer,4,27.58662135,Yes,fresh,104
Cauliflower,Summer,8,37.5776274,No,average,20
Cabbage,Winter,10,21.83617625,No,fresh,30
Cucumber,Spring,2,12.07458522,Yes,fresh,39
Pointed grourd,Autumn,9,20.43852584,No,scrap,35
Pointed grourd,Monsoon,1,15.70256238,Yes,scrap,45.5
Ginger,Autumn,2,29.55323436,No,average,60
Bitter gourd,Monsoon,2,10.87786328,No,scrap,25
Cauliflower,Monsoon,11,18.75789913,No,average,20
Peas,Spring,6,26.35520522,Yes,wilted,110.5
Cabbage,Winter,7,18.32002618,Yes,fresh,39
Potato,Autumn,3,26.5298585,No,average,28
Tomato,Winter,11,13.44136967,No,scrap,30
Onion,Summer,9,38.28416464,No,wilted,25
Pointed grourd,Spring,5,18.72720422,No,scrap,35
Radish,Spring,5,37.69002518,No,average,35
Onion,Summer,11,19.77506319,No,wilted,25
Pumpkin,Autumn,12,33.45520574,No,scrap,40
Potato,Summer,4,17.38562072,No,wilted,28
Chilly,Autumn,9,30.09306707,Yes,fresh,45.5
Cucumber,Monsoon,8,19.71148641,Yes,fresh,39
Brinjal,Spring,12,25.27477388,Yes,wilted,52
Tomato,Autumn,4,30.21442437,Yes,scrap,39
Cauliflower,Winter,4,27.66647516,No,scrap,20
Pumpkin,Winter,2,27.2884178,Yes,scrap,52
Onion,Spring,9,11.97042507,Yes,fresh,32.5
Cabbage,Summer,3,17.47230497,No,average,30
Cabbage,Summer,4,27.1551787,Yes,average,39
Radish,Autumn,7,10.54951622,Yes,wilted,45.5
Cucumber,Summer,10,17.51932765,Yes,scrap,39
Tomato,Spring,8,16.87555718,Yes,wilted,39
Pointed grourd,Autumn,8,17.4956833,Yes,average,45.5
Peas,Monsoon,4,26.06828499,No,average,85
Cauliflower,Summer,7,27.45881062,No,scrap,20
Cucumber,Summer,10,37.26993983,No,wilted,30
Bitter gourd,Autumn,1,21.58093147,Yes,scrap,32.5
Radish,Winter,6,37.79736751,Yes,average,49.4
Radish,Summer,6,29.55863035,Yes,average,45.5
Tomato,Spring,6,37.37981188,No,scrap,30
Ginger,Summer,12,35.00416305,Yes,wilted,78
Pointed grourd,Monsoon,2,30.6274733,Yes,fresh,45.5
Onion,Summer,8,20.68317699,Yes,scrap,32.5
Radish,Winter,5,17.23331343,Yes,average,45.5
Okra,Summer,5,16.67174307,No,fresh,20
Brinjal,Autumn,2,38.56521512,No,scrap,40
Chilly,Summer,4,38.75721529,Yes,fresh,45.5
Cucumber,Winter,12,31.74494121,No,scrap,30
Garlic,Autumn,9,36.51387952,No,average,80
Bitter gourd,Spring,9,37.56988489,No,scrap,25
Garlic,Autumn,6,25.3466859,Yes,fresh,104
Pointed grourd,Monsoon,11,28.87179072,No,wilted,35
Radish,Autumn,9,22.56263494,No,average,38
Radish,Spring,4,22.55472293,Yes,average,49.4
Peas,Summer,11,11.15286756,No,fresh,85
Cauliflower,Autumn,1,23.01464381,No,scrap,20
Potato,Autumn,2,30.20469435,No,scrap,28
Garlic,Autumn,1,22.65946498,Yes,scrap,104
Cauliflower,Autumn,8,36.17229031,Yes,average,26
Radish,Spring,9,19.97688857,No,average,35
Okra,Winter,10,13.9804614,Yes,fresh,26
Peas,Winter,12,34.34676072,Yes,scrap,110.5
Ginger,Autumn,6,30.21843755,Yes,scrap,78
Bitter gourd,Spring,2,17.25458447,No,fresh,25
Ginger,Spring,6,26.09353768,No,average,60
Potato,Autumn,9,22.05557016,Yes,average,36.4
Cauliflower,Monsoon,12,38.16579329,No,wilted,20
Ginger,Autumn,3,28.21996273,Yes,wilted,78
Cabbage,Monsoon,9,14.75167784,Yes,scrap,39
Okra,Autumn,2,25.06445358,No,average,20
Brinjal,Monsoon,11,35.87670498,Yes,scrap,52
Brinjal,Monsoon,5,30.1449001,Yes,average,52
Potato,Autumn,11,35.27356228,Yes,wilted,36.4
Radish,Monsoon,2,17.51197942,Yes,fresh,45.5
Pointed grourd,Summer,7,36.65054131,No,average,35
Cauliflower,Winter,11,32.66833995,Yes,wilted,26
Ginger,Spring,10,31.86741266,No,wilted,60
Okra,Monsoon,9,20.39623209,Yes,average,26
Chilly,Monsoon,7,36.62974191,No,scrap,35
Peas,Spring,12,29.13938132,Yes,average,110.5
Radish,Monsoon,5,35.55518431,Yes,wilted,45.5
Okra,Spring,4,20.82914368,No,average,20
Tomato,Autumn,12,14.36956273,No,fresh,30
Pointed grourd,Summer,4,19.97011541,Yes,scrap,45.5
Garlic,Summer,10,23.65793042,Yes,average,104
Onion,Winter,8,26.00222125,Yes,wilted,32.5
Onion,Monsoon,10,25.32427647,Yes,wilted,32.5
Potato,Winter,10,26.38163777,Yes,scrap,36.4
Peas,Autumn,10,35.25117296,No,average,85
Potato,Summer,10,15.10303739,No,wilted,28
Ginger,Autumn,10,19.48153886,Yes,scrap,78
Ginger,Autumn,1,36.65825471,No,fresh,60
Cauliflower,Monsoon,5,26.81374614,No,scrap,20
Radish,Autumn,2,27.50169611,Yes,average,45.5
Peas,Summer,11,24.34187634,No,average,85
Peas,Winter,9,26.46923905,Yes,wilted,110.5
Bitter gourd,Summer,7,15.94239192,No,fresh,25
Tomato,Monsoon,10,26.40600698,No,average,30
Radish,Summer,8,39.91519384,No,wilted,35
Cucumber,Spring,6,26.98142719,No,scrap,30
Radish,Winter,9,11.33207397,No,scrap,35
Okra,Spring,6,33.89306933,Yes,average,26
Pumpkin,Spring,7,21.89426286,No,fresh,40
Tomato,Monsoon,7,14.61028446,Yes,wilted,39
Chilly,Autumn,9,35.87559419,No,average,35
Okra,Spring,11,15.93919767,No,wilted,20
Peas,Summer,8,37.6230217,No,scrap,85
Bitter gourd,Autumn,1,23.25389471,Yes,wilted,32.5
Cucumber,Summer,4,32.28372504,No,scrap,30
Brinjal,Summer,7,26.40987551,No,fresh,40
Radish,Autumn,11,17.69880412,Yes,fresh,45.5
Pumpkin,Autumn,8,30.13270523,Yes,scrap,52
Chilly,Summer,7,38.73737653,Yes,average,45.5
Cucumber,Monsoon,12,33.089109,No,scrap,30
Cucumber,Winter,3,28.1205399,No,wilted,30
Pumpkin,Winter,4,39.71884325,No,wilted,40
Onion,Monsoon,12,17.95980002,No,wilted,25
Pumpkin,Autumn,7,11.87024464,Yes,average,52
Potato,Summer,8,10.96392598,Yes,fresh,36.4
Cabbage,Winter,7,31.32063639,No,fresh,30
Cucumber,Summer,6,34.90697094,Yes,wilted,39
Ginger,Monsoon,9,29.05301612,Yes,average,78
Pointed grourd,Summer,9,37.15079792,Yes,wilted,45.5
Potato,Monsoon,11,30.93928142,No,fresh,28
Peas,Autumn,7,21.12863939,Yes,scrap,110.5
Pointed grourd,Monsoon,8,15.43774875,No,wilted,35
Bitter gourd,Monsoon,6,37.73942436,No,wilted,25
Tomato,Winter,1,13.1079145,No,wilted,30
Radish,Summer,1,26.28965211,Yes,fresh,49.4
Peas,Winter,6,19.42023776,Yes,average,110.5
Potato,Spring,2,18.14245023,Yes,scrap,36.4
Peas,Monsoon,8,29.37504556,Yes,scrap,110.5
Pointed grourd,Spring,1,16.93710812,No,scrap,35
Cucumber,Winter,2,37.4909532,No,wilted,30
Okra,Summer,8,22.18131727,No,fresh,20
Radish,Winter,12,30.3212604,Yes,scrap,49.4
Cauliflower,Summer,6,31.83267152,Yes,wilted,26
Cabbage,Summer,12,30.48825084,Yes,average,39
Radish,Autumn,10,37.10200723,No,wilted,38
Pointed grourd,Monsoon,2,16.93392591,No,scrap,35
Peas,Winter,2,12.58163634,Yes,scrap,110.5
Chilly,Summer,11,11.66397092,No,average,35
Cucumber,Winter,7,36.33532451,No,fresh,30
Cucumber,Winter,5,39.1986115,Yes,average,39
Cauliflower,Summer,5,19.07579624,Yes,average,26
Pointed grourd,Spring,8,30.80541771,No,scrap,35
Brinjal,Monsoon,12,10.26738353,Yes,scrap,52
Tomato,Monsoon,12,15.6589453,No,fresh,30
Peas,Autumn,7,30.67823147,Yes,scrap,110.5
Peas,Autumn,12,11.97661418,No,average,85
Radish,Autumn,9,24.0553015,Yes,average,49.4
Brinjal,Monsoon,4,29.87749793,Yes,fresh,52
Brinjal,Spring,10,32.97874514,Yes,scrap,52
Ginger,Monsoon,4,23.61447741,No,scrap,60
Potato,Monsoon,2,28.90852118,No,average,28
Onion,Monsoon,3,26.18726889,Yes,average,32.5
Ginger,Monsoon,1,11.56917316,No,scrap,60
Cauliflower,Spring,1,32.28414062,No,wilted,20
Radish,Autumn,7,15.17085748,Yes,average,45.5
Bitter gourd,Winter,5,10.95416594,Yes,average,32.5
Peas,Autumn,3,23.53503749,Yes,average,110.5
Garlic,Autumn,7,35.96912762,No,fresh,80
Tomato,Winter,2,14.52488313,Yes,scrap,39
Pointed grourd,Monsoon,3,10.38572602,No,scrap,35
Okra,Spring,1,13.29937707,No,scrap,20
Chilly,Spring,8,20.90977343,No,average,35
Onion,Autumn,2,27.4051561,Yes,scrap,32.5
Cauliflower,Winter,7,15.79036402,Yes,scrap,26
Chilly,Summer,11,34.05892015,No,scrap,35
Onion,Monsoon,9,32.59891362,No,fresh,25
Peas,Autumn,6,30.8759085,Yes,fresh,110.5
Onion,Spring,2,24.62409425,Yes,average,32.5
Ginger,Winter,2,20.95650865,Yes,scrap,78
Brinjal,Winter,9,21.26759863,Yes,average,52
Ginger,Autumn,10,25.09211605,Yes,average,78
Radish,Summer,8,12.31944061,Yes,average,49.4
Chilly,Spring,9,30.46916389,Yes,average,45.5
Cabbage,Autumn,4,20.54522632,Yes,average,39
Pointed grourd,Summer,4,16.74276334,Yes,average,45.5
Potato,Winter,2,18.34981211,No,fresh,28
Potato,Monsoon,10,15.40882856,Yes,wilted,36.4
Onion,Spring,1,37.04704257,Yes,fresh,32.5
Cauliflower,Spring,10,15.07112549,No,average,20
Okra,Summer,4,36.48778357,Yes,wilted,26
Brinjal,Autumn,10,27.16730188,Yes,wilted,52
Bitter gourd,Winter,10,36.02352866,No,scrap,25
Garlic,Summer,11,24.22192651,Yes,average,104
Tomato,Monsoon,8,37.82901158,No,average,30
Cabbage,Monsoon,2,16.34472231,No,fresh,30
Cabbage,Monsoon,12,26.64075259,Yes,wilted,39
Cabbage,Summer,11,13.77516072,No,wilted,30
Tomato,Winter,8,23.41660856,No,average,30
Garlic,Spring,1,27.0971109,No,scrap,80
Pumpkin,Autumn,1,28.17025667,No,average,40
Tomato,Spring,4,20.96586391,Yes,wilted,39
Potato,Winter,7,12.29006926,No,scrap,28
Cauliflower,Spring,9,29.65978214,No,scrap,20
Bitter gourd,Summer,5,24.65295581,Yes,wilted,32.5
Bitter gourd,Monsoon,2,14.106366,No,average,25
Potato,Winter,12,38.07627908,Yes,average,36.4
Onion,Winter,7,38.67005987,No,average,25
Peas,Spring,11,35.69818839,Yes,fresh,110.5
Okra,Summer,2,35.31604902,No,fresh,20
Okra,Spring,9,12.96013828,Yes,scrap,26
Chilly,Spring,9,39.80260329,No,average,35
Bitter gourd,Winter,3,22.0114204,Yes,fresh,32.5
Tomato,Spring,8,14.89363348,Yes,scrap,39
Brinjal,Monsoon,11,34.36305185,Yes,wilted,52
Potato,Spring,4,16.77192305,Yes,wilted,36.4
Okra,Monsoon,3,25.78525962,Yes,average,26
Cauliflower,Winter,1,13.84048196,No,wilted,20
Chilly,Summer,5,24.2393717,No,wilted,35
Peas,Monsoon,11,26.7442448,Yes,wilted,110.5
Cabbage,Summer,4,23.3777188,Yes,scrap,39
Pointed grourd,Summer,1,12.08460474,No,wilted,35
Potato,Monsoon,10,24.54817092,No,wilted,28
Garlic,Winter,8,24.0682853,Yes,scrap,104
Radish,Autumn,8,17.84860832,No,fresh,35
Garlic,Summer,8,37.64804799,Yes,scrap,104
Ginger,Summer,3,22.53376998,Yes,fresh,78
Chilly,Winter,6,35.92347389,Yes,scrap,45.5
Pumpkin,Winter,12,13.28991489,No,average,40
Cauliflower,Spring,12,19.56631853,Yes,wilted,26
Onion,Winter,7,15.28992561,No,fresh,25
Radish,Summer,9,22.25232364,No,scrap,35
Potato,Monsoon,5,13.34910062,No,fresh,28
Ginger,Autumn,9,23.23104418,No,fresh,60
Okra,Spring,6,20.6161223,Yes,wilted,26
Radish,Monsoon,10,16.69945142,Yes,fresh,49.4
Radish,Autumn,10,29.26538236,No,scrap,38
Garlic,Autumn,10,38.52734464,Yes,average,104
Pumpkin,Autumn,4,16.21340421,No,average,40
Pumpkin,Monsoon,1,31.3537252,Yes,wilted,52
Cauliflower,Spring,1,32.27142668,Yes,scrap,26
Radish,Spring,10,24.94361549,Yes,scrap,45.5
Cabbage,Autumn,5,36.93005038,Yes,average,39
Chilly,Monsoon,3,38.99170198,Yes,scrap,45.5
Bitter gourd,Autumn,5,20.86739356,Yes,fresh,32.5
Cabbage,Winter,5,29.53099894,No,wilted,30
Radish,Spring,1,29.86637854,Yes,average,45.5
Ginger,Summer,8,22.10906579,Yes,wilted,78
Cauliflower,Autumn,5,19.50373223,Yes,fresh,26
Brinjal,Winter,5,38.01232595,No,average,40
Onion,Spring,9,33.69944648,Yes,scrap,32.5
Cauliflower,Monsoon,8,13.43393698,Yes,scrap,26
Cabbage,Spring,1,13.59652215,Yes,fresh,39
Brinjal,Monsoon,3,37.67628307,No,average,40
Tomato,Monsoon,12,12.44229295,Yes,wilted,39
Potato,Autumn,7,30.65264039,No,average,28
Chilly,Autumn,1,16.80274741,No,scrap,35
Okra,Spring,1,11.05556028,Yes,average,26
Cucumber,Winter,5,11.78912638,Yes,average,39
Chilly,Spring,9,21.20566311,No,scrap,35
Onion,Summer,6,12.32765355,No,scrap,25
Ginger,Monsoon,10,27.899176,Yes,wilted,78
Garlic,Monsoon,2,29.41763534,Yes,average,104
Garlic,Autumn,11,21.20405716,No,scrap,80
Cucumber,Winter,9,32.28634227,No,fresh,30
Cabbage,Autumn,6,24.70127561,No,scrap,30
Radish,Summer,5,22.9068551,No,wilted,35
Cauliflower,Spring,5,22.20964266,Yes,wilted,26
Pointed grourd,Spring,12,22.93319462,No,fresh,35
Cucumber,Winter,3,39.0366295,Yes,wilted,39
Cauliflower,Autumn,6,30.4422118,No,average,20
Radish,Autumn,4,19.45629541,No,wilted,35
Okra,Summer,12,32.01579611,Yes,fresh,26
Chilly,Spring,10,19.90802165,Yes,wilted,45.5
Potato,Autumn,2,13.77144723,Yes,fresh,36.4
Chilly,Winter,3,24.26081072,Yes,wilted,45.5
Radish,Spring,9,32.53071577,No,scrap,38
Pumpkin,Summer,11,21.32979733,Yes,fresh,52
Radish,Winter,11,36.07522426,Yes,wilted,49.4
Radish,Monsoon,9,21.60858112,Yes,average,45.5
Cauliflower,Summer,6,20.49517077,No,fresh,20
Garlic,Winter,10,39.94731742,No,fresh,80
Radish,Autumn,10,24.47416069,Yes,wilted,49.4
Ginger,Monsoon,9,34.15663629,No,scrap,60
Tomato,Summer,4,34.14964168,No,scrap,30
Radish,Autumn,11,37.79108011,Yes,wilted,49.4
Onion,Monsoon,5,12.54685163,No,wilted,25
Onion,Spring,10,18.13660829,Yes,average,32.5
Brinjal,Autumn,6,33.03244275,Yes,wilted,52
Okra,Winter,9,26.87804477,Yes,fresh,26
Tomato,Summer,5,26.78844827,No,wilted,30
Peas,Monsoon,8,14.98645906,Yes,average,110.5
Onion,Autumn,11,18.43459042,No,wilted,25
Tomato,Spring,1,25.64002257,No,wilted,30
Cauliflower,Summer,5,18.31544094,No,fresh,20
Radish,Summer,10,16.30848378,No,scrap,38
Radish,Autumn,1,12.63268167,Yes,wilted,45.5
Chilly,Spring,10,14.67178036,Yes,average,45.5
Cucumber,Monsoon,6,33.06603287,No,wilted,30
Tomato,Autumn,7,31.56337542,Yes,wilted,39
Bitter gourd,Monsoon,12,11.37501053,No,fresh,25
Cauliflower,Summer,5,16.09852256,No,scrap,20
Tomato,Monsoon,1,26.8136604,Yes,scrap,39
